ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi,pe_ratio,pb_ratio
FANG,45,-0.018983202545783517,Energy,0.003134796238244514,0.002447716797447312,0.024381358941327504,0.003391343735243468,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,39.082475118513166,39.082475118513166,,
PLD,46,-0.02047048554973788,Real Estate,0.003134796238244514,0.0033842035912345523,0.017634477423241802,0.002452881099758226,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,27.040417433158083,27.040417433158083,,
VLO,47,-0.021418879615492725,Energy,0.003134796238244514,0.002549821325094686,0.023405036752158867,0.003255541454993868,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,10.83750235885401,10.83750235885401,,
DOW,48,-0.021652825343273608,Basic Materials,0.003134796238244514,0.0019385991370339502,0.03078442607613438,0.004281983246610602,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.496147091297047,24.496147091297047,,
HSY,49,-0.02179524667324509,Consumer Defensive,0.003134796238244514,0.003489553456204982,0.017102091306026957,0.0023788284463482166,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.793505824032763,23.793505824032763,,
SLB,50,-0.021847133507931802,Energy,0.003134796238244514,0.002616798888225181,0.02280597950947466,0.003172215130488402,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.92538759974508,24.92538759974508,,
ICLN,51,-0.02213205741200052,ETF - Other,0.003134796238244514,0.004071453622831703,0.014657826750283093,0.0020388416019583083,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.617577891355566,23.617577891355566,,
ON,52,-0.02227070244788181,Technology,0.003134796238244514,0.001605184569322473,0.03717869145133205,0.005171398470505425,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,37.76102124104188,37.76102124104188,,
EGO,53,-0.02342252211303438,Basic Materials,0.003134796238244514,0.0020809634216692884,0.028678380986344808,0.003989041297042256,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.98423107662863,25.98423107662863,,
JPM,54,-0.023544168312133133,Financial Services,0.003134796238244514,0.0038230661515075317,0.015610156732900565,0.0021713066679214625,0.0031347962382445144,69.93630573248409,21.799999999999997,100.0,21.799999999999997,50.0,42.84349751595191,42.84349751595191,31.4,8.03
