ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi,pe_ratio,pb_ratio
SBUX,22,0.2946655142479466,Consumer Cyclical,0.011363636363636364,0.01143547763290777,0.021434358241315895,0.010057456706811543,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,26.867990340979347,26.867990340979347,,
GEHC,23,0.28203883923513967,Healthcare,0.011363636363636364,0.010657610387625928,0.02299878822075246,0.010791520522106596,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,33.88671138775452,33.88671138775452,,
SNOW,24,0.27272790787456397,Technology,0.011363636363636364,0.00791174643417336,0.030980786136621204,0.014536843688254324,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,22.960788197136324,22.960788197136324,,
BIDU,25,0.2596166467634097,Communication Services,0.011363636363636364,0.008220313485722072,0.02981785605500781,0.013991172163257105,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,29.614513083635828,29.614513083635828,,
LRCX,26,0.2587504111159613,Technology,0.011363636363636364,0.008022500907357288,0.030553081523432727,0.014336155588241369,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,38.378753995360555,38.378753995360555,,
PCAR,27,0.2560719861120202,Industrials,0.011363636363636364,0.013508271655818459,0.018145335723887546,0.008514177397753344,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,20.283661512509184,20.283661512509184,,
CSX,28,0.2498180029842474,Industrials,0.011363636363636364,0.01659225431679963,0.01477268366096129,0.006931657327493612,0.011363636363636367,50.0,50.0,100.0,50.0,50.0,29.032239339397407,29.032239339397407,,
EXC,29,0.23049856061009188,Utilities,0.011363636363636364,0.020746729153589532,0.011814494826134642,0.005543612217773744,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,52.81897995861273,52.81897995861273,,
CMCSA,30,0.22282847587051652,Communication Services,0.011363636363636364,0.014342175609889835,0.017090302818163792,0.0080191335222094,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,37.269908850023924,37.269908850023924,,
PDD,31,0.21432987479974996,Consumer Cyclical,0.011363636363636364,0.009579428331649981,0.025587343603214956,0.012006125755405257,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,19.5569182384438,19.5569182384438,,
AEP,32,0.20238853625753675,Utilities,0.011363636363636364,0.02012736988436007,0.012178050368854406,0.005714200209737851,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,29.582395278247446,29.582395278247446,,
KDP,33,0.1989519646077064,Consumer Defensive,0.011363636363636364,0.014687481554398035,0.016688506013538013,0.007830601916925804,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,23.885423075743404,23.885423075743404,,
KHC,34,0.17972916827269753,Consumer Defensive,0.011363636363636364,0.015480244346196074,0.01583386662139678,0.0074295869394944815,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,33.732081249401475,33.732081249401475,,
INTC,35,0.16955367999190163,Technology,0.011363636363636364,0.006105992771962148,0.040142878217907546,0.018835892132529144,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,41.81818525742739,41.81818525742739,,
MDLZ,36,0.16573678174725787,Consumer Defensive,0.011363636363636364,0.017579309381920632,0.013943216932991963,0.006542453899410011,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,37.69637204608001,37.69637204608001,,
DDOG,37,0.16497211846376536,Technology,0.011363636363636364,0.007935302438467384,0.03088881944260728,0.014493690959672473,0.011363636363636364,50.0,50.0,100.0,50.0,50.0,25.93325229259419,25.93325229259419,,
