date,ticker,weight
2020-09-01,PEP,0.1
2020-09-01,EXC,0.1
2020-10-01,SNOW,0.1
2020-10-01,LCID,0.1
2020-10-01,FAST,0.1
2020-10-01,GOOG,0.1
2020-10-01,WBD,0.1
2020-10-01,CDW,0.1
2020-10-01,ADI,0.1
2020-10-01,XEL,0.1
2020-10-01,PANW,0.1
2020-10-01,SBUX,0.1
2020-11-01,WBD,0.1
2020-11-01,FAST,0.1
2020-11-01,PANW,0.1
2020-11-01,LCID,0.1
2020-11-01,SBUX,0.1
2020-11-01,ADI,0.1
2020-11-01,XEL,0.1
2020-11-01,DLTR,0.1
2020-11-01,AVGO,0.1
2020-11-01,ORLY,0.1
2020-12-01,CPRT,0.1
2020-12-01,ROST,0.1
2020-12-01,LCID,0.1
2020-12-01,XEL,0.1
2020-12-01,KHC,0.1
2020-12-01,FAST,0.1
2020-12-01,MAR,0.1
2020-12-01,PCAR,0.1
2020-12-01,AEP,0.1
2020-12-01,PAYX,0.1
2021-01-01,NET,0.1
2021-01-01,MRNA,0.1
2021-01-01,ZS,0.1
2021-01-01,PDD,0.1
2021-01-01,ABNB,0.1
2021-01-01,CRWD,0.1
2021-01-01,PANW,0.1
2021-01-01,BIIB,0.1
2021-01-01,ALGN,0.1
2021-01-01,AMAT,0.1
2021-02-01,NET,0.1
2021-02-01,MRNA,0.1
2021-02-01,PDD,0.1
2021-02-01,ZS,0.1
2021-02-01,CRWD,0.1
2021-02-01,WBD,0.1
2021-02-01,AMAT,0.1
2021-02-01,PANW,0.1
2021-02-01,JD,0.1
2021-02-01,MU,0.1
2021-03-01,NET,0.1
2021-03-01,ZS,0.1
2021-03-01,CRWD,0.1
2021-03-01,PDD,0.1
2021-03-01,TSLA,0.1
2021-03-01,WBD,0.1
2021-03-01,MU,0.1
2021-03-01,MRNA,0.1
2021-03-01,LRCX,0.1
2021-03-01,PANW,0.1
2021-04-01,NET,0.1
2021-04-01,MRNA,0.1
2021-04-01,WBD,0.1
2021-04-01,CRWD,0.1
2021-04-01,MELI,0.1
2021-04-01,PDD,0.1
2021-04-01,AMAT,0.1
2021-04-01,LCID,0.1
2021-04-01,TSLA,0.1
2021-04-01,BIDU,0.1
2021-05-01,WBD,0.1
2021-05-01,NET,0.1
2021-05-01,LCID,0.1
2021-05-01,PDD,0.1
2021-05-01,MRNA,0.1
2021-05-01,CRWD,0.1
2021-05-01,MDB,0.1
2021-05-01,AMAT,0.1
2021-05-01,BIDU,0.1
2021-05-01,LRCX,0.1
2021-06-01,LCID,0.1
2021-06-01,TSLA,0.1
2021-06-01,MRNA,0.1
2021-06-01,WBD,0.1
2021-06-01,PDD,0.1
2021-06-01,NET,0.1
2021-06-01,MDB,0.1
2021-06-01,BIDU,0.1
2021-06-01,LRCX,0.1
2021-06-01,AMAT,0.1
2021-07-01,LCID,0.1
2021-07-01,MRNA,0.1
2021-07-01,TSLA,0.1
2021-07-01,PDD,0.1
2021-07-01,WBD,0.1
2021-07-01,SNOW,0.1
2021-07-01,LRCX,0.1
2021-07-01,MDB,0.1
2021-07-01,AMD,0.1
2021-07-01,BIDU,0.1
2021-08-01,LCID,0.1
2021-08-01,MRNA,0.1
2021-08-01,MDB,0.1
2021-08-01,WBD,0.1
2021-08-01,JD,0.1
2021-08-01,LRCX,0.1
2021-08-01,BIDU,0.1
2021-08-01,MRVL,0.1
2021-08-01,MU,0.1
2021-08-01,NET,0.1
2021-09-01,NET,0.1
2021-09-01,LCID,0.1
2021-09-01,MRNA,0.1
2021-09-01,WBD,0.1
2021-09-01,MU,0.1
2021-09-01,PANW,0.1
2021-09-01,DDOG,0.1
2021-09-01,AMD,0.1
2021-09-01,FTNT,0.1
2021-09-01,BIDU,0.1
2021-10-01,MRNA,0.1
2021-10-01,NET,0.1
2021-10-01,PANW,0.1
2021-10-01,LRCX,0.1
2021-10-01,LCID,0.1
2021-10-01,JD,0.1
2021-10-01,PDD,0.1
2021-10-01,MELI,0.1
2021-10-01,DXCM,0.1
2021-10-01,FTNT,0.1
2021-11-01,MRNA,0.1
2021-11-01,NET,0.1
2021-11-01,LCID,0.1
2021-11-01,GFS,0.1
2021-11-01,PDD,0.1
2021-11-01,BIDU,0.1
2021-11-01,PANW,0.1
2021-11-01,WBD,0.1
2021-11-01,FTNT,0.1
2021-11-01,DXCM,0.1
2021-12-01,RIVN,0.1
2021-12-01,LCID,0.1
2021-12-01,MRNA,0.1
2021-12-01,NET,0.1
2021-12-01,DLTR,0.1
2021-12-01,MRVL,0.1
2021-12-01,WBD,0.1
2021-12-01,MELI,0.1
2021-12-01,PDD,0.1
2021-12-01,BIDU,0.1
2022-01-01,RIVN,0.1
2022-01-01,MRNA,0.1
2022-01-01,WBD,0.1
2022-01-01,FTNT,0.1
2022-01-01,DLTR,0.1
2022-01-01,PDD,0.1
2022-01-01,LCID,0.1
2022-01-01,JD,0.1
2022-01-01,MRVL,0.1
2022-01-01,GFS,0.1
2022-02-01,RIVN,0.1
2022-02-01,MRNA,0.1
2022-02-01,LCID,0.1
2022-02-01,JD,0.1
2022-02-01,BIIB,0.1
2022-02-01,FTNT,0.1
2022-02-01,DLTR,0.1
2022-02-01,QCOM,0.1
2022-02-01,TTWO,0.1
2022-02-01,PDD,0.1
2022-03-01,RIVN,0.1
2022-03-01,NET,0.1
2022-03-01,PDD,0.1
2022-03-01,MRVL,0.1
2022-03-01,DDOG,0.1
2022-03-01,LCID,0.1
2022-03-01,FTNT,0.1
2022-03-01,WDAY,0.1
2022-03-01,JD,0.1
2022-03-01,GFS,0.1
2022-04-01,PDD,0.1
2022-04-01,RIVN,0.1
2022-04-01,NET,0.1
2022-04-01,JD,0.1
2022-04-01,BIDU,0.1
2022-04-01,MRVL,0.1
2022-04-01,FTNT,0.1
2022-04-01,MELI,0.1
2022-04-01,SNOW,0.1
2022-04-01,LCID,0.1
2022-05-01,PDD,0.1
2022-05-01,JD,0.1
2022-05-01,BIDU,0.1
2022-05-01,NET,0.1
2022-05-01,MELI,0.1
2022-05-01,RIVN,0.1
2022-05-01,SNOW,0.1
2022-05-01,MDB,0.1
2022-05-01,MRNA,0.1
2022-05-01,IDXX,0.1
2022-06-01,PDD,0.1
2022-06-01,JD,0.1
2022-06-01,SNOW,0.1
2022-06-01,RIVN,0.1
2022-06-01,NET,0.1
2022-06-01,BIDU,0.1
2022-06-01,MELI,0.1
2022-06-01,MDB,0.1
2022-06-01,TEAM,0.1
2022-06-01,LCID,0.1
2022-07-01,PDD,0.1
2022-07-01,MELI,0.1
2022-07-01,LCID,0.1
2022-07-01,MDB,0.1
2022-07-01,ZS,0.1
2022-07-01,TEAM,0.1
2022-07-01,NET,0.1
2022-07-01,CRWD,0.1
2022-07-01,IDXX,0.1
2022-07-01,ALGN,0.1
2022-08-01,PDD,0.1
2022-08-01,MELI,0.1
2022-08-01,MDB,0.1
2022-08-01,DDOG,0.1
2022-08-01,LCID,0.1
2022-08-01,TEAM,0.1
2022-08-01,ILMN,0.1
2022-08-01,GFS,0.1
2022-08-01,IDXX,0.1
2022-08-01,EBAY,0.1
2022-09-01,PDD,0.1
2022-09-01,MDB,0.1
2022-09-01,NET,0.1
2022-09-01,ALGN,0.1
2022-09-01,SNOW,0.1
