ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi
EGO,23,0.05006897170459066,Basic Materials,0.003134796238244514,0.002080963421669288,0.028678380986344808,0.003989041297042256,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.98423107662863,25.98423107662863
BLK,24,0.0496765565731751,Financial Services,0.003134796238244514,0.0034352546546222475,0.01737241276857887,0.0024164290165516003,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,43.680380408117806,43.680380408117806
AEM,25,0.0442430195868744,Basic Materials,0.003134796238244514,0.002532794973822199,0.023562373757880388,0.0032774263659194527,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,29.484087790648843,29.484087790648843
AGI,26,0.042956194747181375,Basic Materials,0.003134796238244514,0.002261510784738043,0.02638884688413824,0.0036705768032119636,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,31.578947368421012,31.578947368421012
DXCM,27,0.04143292392862712,Healthcare,0.003134796238244514,0.0021160502858891604,0.028202856152921087,0.003922897807310406,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,48.91705277140988,48.91705277140988
CEG,28,0.041203472689163766,Utilities,0.003134796238244514,0.0015212525123536244,0.039229951201820504,0.005456720011479275,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,31.561749958910397,31.561749958910397
AU,29,0.04110590982265432,Basic Materials,0.003134796238244514,0.0018406025353337168,0.032423437803457814,0.004509962834082532,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,32.43968829371643,32.43968829371643
LCID,30,0.04081368183824646,Consumer Cyclical,0.003134796238244514,0.0012491175320090736,0.04777665855773612,0.006645530795906598,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,67.24137779837616,67.24137779837616
GOLD,31,0.03787476430923406,Financial Services,0.003134796238244514,0.002163893685275626,0.02757929478299576,0.0038361630625193123,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.938209835441796,23.938209835441796
COST,32,0.03508448506223279,Consumer Defensive,0.003134796238244514,0.004370760500309431,0.013654068169842421,0.001899223035919142,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,19.05929829350258,19.05929829350258
CHPT,33,0.03488028844079059,Consumer Cyclical,0.003134796238244514,0.0012047685082808735,0.049535376642967796,0.006890161030618408,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,27.692310626690215,27.692310626690215
GM,34,0.03470810605867396,Consumer Cyclical,0.003134796238244514,0.002576087897944399,0.02316639190491147,0.003222346967778935,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,55.4786789734398,55.4786789734398
LI,35,0.03410245088139804,Consumer Cyclical,0.003134796238244514,0.001936402994147492,0.030819339778780538,0.004286839594734107,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,51.17891853611938,51.17891853611938
NUE,36,0.03313826992195183,Basic Materials,0.003134796238244514,0.002573178495343199,0.02319258533105371,0.003225990362384864,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,8.304278320070168,8.304278320070168
GDXJ,37,0.03309429263131964,Precious Metals,0.003134796238244514,0.002270881427931095,0.02627995503915423,0.0036554304089033316,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,22.72440525161373,22.72440525161373
PSLV,38,0.03304830277046764,Other,0.003134796238244514,0.0030119070938827647,0.01981424392089913,0.002756077384834585,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,17.218597001803715,17.218597001803715
CCJ,39,0.030460118665845113,Energy,0.003134796238244514,0.0017725848693510367,0.033667590679101626,0.004683019228135606,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.898619137160665,24.898619137160665
SILJ,40,0.028699559889164852,Precious Metals,0.003134796238244514,0.0020885377794903704,0.0285743750538436,0.003974574512460439,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,19.52767565578023,19.52767565578023
SIL,41,0.027727550080748373,Precious Metals,0.003134796238244514,0.0023479711994200706,0.02541711833604248,0.003535413478974289,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,16.997158569128885,16.997158569128885
F,42,0.027367015082464266,Consumer Cyclical,0.003134796238244514,0.002860437273255489,0.020863475099860772,0.0029020209966798705,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.67563171660666,25.67563171660666
SMR,43,0.026959303661423056,Industrials,0.003134796238244514,0.0008350856431746165,0.0714641214503561,0.009940356530518625,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,28.179740475715576,28.179740475715576
NEM,44,0.026875629748531894,Basic Materials,0.003134796238244514,0.002335352787989253,0.025554452471681192,0.0035545160754150455,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,24.096388613763636,24.096388613763636
CVS,45,0.026652403748247715,Healthcare,0.003134796238244514,0.002984655433241777,0.019995159629016098,0.002781241993370397,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,15.002896719774725,15.002896719774725
SLV,46,0.026454195149483477,Precious Metals,0.003134796238244514,0.003001085672884777,0.0198856908233192,0.0027660153462709404,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,18.362282760970857,18.362282760970857
UEC,47,0.025290133073628894,Energy,0.003134796238244514,0.0012931112472120815,0.046151220132022955,0.006419439197184324,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,31.372545964134986,31.372545964134986
RING,48,0.02509818286838284,Precious Metals,0.003134796238244514,0.002441712374816955,0.024441315218281343,0.003399683399358386,0.0031347962382445136,50.0,50.0,100.0,50.0,50.0,24.880309683046463,24.880309683046463
REGN,49,0.02217834717222978,Healthcare,0.003134796238244514,0.002293170899086973,0.02602451559499583,0.0036198998644096747,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.883642865541688,20.883642865541688
GDX,50,0.021982628485504873,Precious Metals,0.003134796238244514,0.002520174587190554,0.023680368069978933,0.003293838874840416,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,23.535991223422442,23.535991223422442
BIDU,51,0.02145825326181414,Communication Services,0.003134796238244514,0.0020014404025287627,0.02981785605500781,0.004147537451619847,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,29.614513083635828,29.614513083635828
GOOGL,52,0.020865129663048345,Communication Services,0.003134796238244514,0.002933337072097245,0.020344972418260526,0.0028298994703456135,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,64.89026906543728,64.89026906543728
GOOG,53,0.020635869943589097,Communication Services,0.003134796238244514,0.0029728750974102446,0.020074392589607044,0.002792262962512089,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,64.7269901631374,64.7269901631374
NET,54,0.0197017450335905,Technology,0.003134796238244514,0.0018390020477945027,0.03245165599290745,0.0045138878646864555,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,42.04470242482777,42.04470242482777
WFC,55,0.019696172884089737,Financial Services,0.003134796238244514,0.0032687576144835953,0.01825729187164209,0.0025395119509295768,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,40.212561907464526,40.212561907464526
SMH,56,0.019654598960232982,ETF - Other,0.003134796238244514,0.0024997704465681402,0.02387365684205547,0.0033207245241535705,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,49.72429944984853,49.72429944984853
ALGN,57,0.01942568825043231,Healthcare,0.003134796238244514,0.001802542317533704,0.03310805036019004,0.004605189540310435,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.955941132811617,20.955941132811617
GE,58,0.019028714578101034,Industrials,0.003134796238244514,0.0031240576189023542,0.019102932501689193,0.002657136979947809,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,45.0445023457258,45.0445023457258
HSY,59,0.018810353555213422,Consumer Defensive,0.003134796238244514,0.0034895534562049816,0.017102091306026957,0.0023788284463482166,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.793505824032763,23.793505824032763
LRCX,60,0.018678527439670623,Technology,0.003134796238244514,0.0019532779952002193,0.030553081523432727,0.004249804199438725,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.378753995360555,38.378753995360555
