date,ticker,pe,pb,roe,net_margin,gross_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,market_cap
2026-01-09,GOOGL,32.158104,10.159523,0.3545,0.32233003,0.59172,0.30512,11.424,1.747,0.159,3941768888320.0
2026-01-09,GS,18.973616,2.6861465,0.13532,0.29073998,0.82997,0.37203997,586.142,1.657,0.207,282992771072.0
2026-01-09,HAL,21.304634,2.6580186,0.12788,0.05913,0.16172001,0.12857,83.613,1.955,-0.017,27428208640.0
2026-01-09,HD,24.509884,29.527798,1.62909,0.087740004,0.33355,0.12945,544.586,1.051,0.028,357946097664.0
2026-01-09,HL,67.77419,5.74829,0.08878,0.16268998,0.49515998,0.37598,11.711,2.153,0.671,14078773248.0
2026-01-09,HMY,14.827339,4.3803115,0.32524,0.19465,0.39654,0.29669002,4.925,1.72,0.227,12872665088.0
2026-01-09,HON,21.64979,7.764537,0.34616002,0.1507,0.36944,0.18505,215.247,1.358,0.07,138305028096.0
2026-01-09,HSY,27.615845,8.207463,0.31013,0.118360005,0.3773,0.13542,125.764,1.363,0.065,37464551424.0
2026-01-09,HUBS,32.26507,10.407698,-0.00196,-0.00118,0.84130996,0.01516,14.653,1.607,0.209,19491182592.0
2026-01-09,HUM,25.96539,1.8024026,0.07159,0.01022,0.14949,0.02043,69.686,2.024,0.111,33384198144.0
2026-01-09,IAU,,2.4347122,,,,,,,,81764245504.0
2026-01-09,IBM,36.081047,10.140354,0.30156,0.120900005,0.57808995,0.1717,237.831,0.932,0.091,282963050496.0
2026-01-09,ICE,29.504555,3.2232902,0.114930004,0.32431,1.0,0.49067003,67.954,1.012,0.026,92721094656.0
2026-01-09,ICLN,20.625425,,,,,,,,,
2026-01-09,IDXX,56.494057,36.50474,0.64633006,0.24654,0.6172,0.32106,71.29,1.18,0.133,56994545664.0
2026-01-09,ILMN,32.69731,9.370903,0.31203,0.16395001,0.68377,0.21402,108.19,1.425,0.004,22414071808.0
2026-01-09,INTC,685.1667,1.841846,0.0018600001,0.0037099998,0.33023,0.06284,39.881,1.602,0.028,196094705664.0
2026-01-09,INTU,44.83173,9.408738,0.21987,0.21191,0.80728996,0.15697,,1.386,0.41,181725593600.0
2026-01-09,IQV,33.451168,6.723342,0.19374001,0.08067001,0.33778,0.13976,242.366,0.703,0.052,41415258112.0
2026-01-09,IR,62.496296,3.2931304,0.05382,0.07309,0.43723,0.20476,47.62,2.162,0.051,33533069312.0
2026-01-09,ISRG,77.49404,12.265058,0.16902,0.28577998,0.66376996,0.30326,,4.728,0.229,209737449472.0
2026-01-09,ITW,24.63398,22.94538,0.91683,0.19052,0.43927,0.27667,278.654,1.53,0.023,73962291200.0
2026-01-09,IWM,19.000282,1.1809652,,,,,,,,72586772480.0
2026-01-09,JD,9.759869,1.2593443,0.11722,0.0247,0.09516,-0.0040599997,36.821,1.198,0.149,43775299584.0
2026-01-09,JNJ,19.879227,6.2448783,0.33619,0.27259,0.68355006,0.30200002,57.766,1.074,0.068,495712468992.0
2026-01-09,JPM,16.342419,2.6392279,0.16437,0.347,0.0,0.43708,,,0.088,906841358336.0
2026-01-09,K,22.797813,6.907285,0.32112,0.10079,0.35209,0.15031,145.099,0.678,0.008,29031499776.0
2026-01-09,KDP,23.801725,1.4812232,0.06291,0.09781,0.54761004,0.23107,73.567,0.625,0.107,37510483968.0
2026-01-09,KGC,21.608393,4.698905,0.2481,0.273,0.64346004,0.44254002,15.57,2.83,0.258,37775978496.0
2026-01-09,KHC,9.313845,0.66927564,-0.09693,-0.1735,0.33735,0.17637,50.968,1.127,-0.023,27733049344.0
2026-01-09,KLAC,41.66719,34.94526,0.99167997,0.33828998,0.61294997,0.41661,122.127,2.692,0.13,174429323264.0
2026-01-09,KMB,16.729273,24.631292,1.3688201,0.09983,0.35647,0.16699,500.068,0.773,0.001,32814274560.0
2026-01-09,KO,22.9702,9.55115,0.42442,0.2734,0.61632997,0.32373002,144.771,1.211,0.051,298545414144.0
2026-01-09,KR,52.911507,4.846004,0.07997,0.0053600003,0.24024001,0.03101,357.991,0.878,0.007,39621529600.0
2026-01-09,LCID,-1.7329632,2.0237668,-0.61119,-2.14095,-0.97909,-2.7988,75.61,1.805,0.683,3643653376.0
2026-01-09,LEN,13.72807,1.2589784,0.08406,0.06079,0.18267,0.078779995,27.53,12.398,-0.058,27055667200.0
2026-01-09,LEU,44.448757,14.357727,0.51741004,0.25039,0.31777,-0.23497999,334.288,3.457,0.298,5213194240.0
2026-01-09,LI,15.431191,1.634515,0.066350006,0.036310002,0.19423,-0.04302,24.443,1.803,-0.362,17043441664.0
2026-01-09,LIN,29.410704,5.3167515,0.17979999,0.21170999,0.48776,0.2794,64.673,0.823,0.031,206174830592.0
2026-01-09,LLY,53.195587,40.858055,0.9647,0.30986,0.83029,0.48294,178.516,1.546,0.539,972825886720.0
2026-01-09,LMT,28.89855,19.291508,0.62776,0.05726,0.08252,0.11693,358.987,1.129,0.088,121037627392.0
2026-01-09,LOW,21.227009,-13.844698,,0.08045,0.3359,0.1192,,1.04,0.032,143721381888.0
2026-01-09,LRCX,44.46018,24.825201,0.62261003,0.29657,0.49313,0.34354,43.991,2.207,0.277,253417062400.0
2026-01-09,LULU,14.7442665,5.5566616,0.41017,0.15720001,0.58413,0.16988,39.156,2.13,0.071,25161062400.0
2026-01-09,MA,37.041508,66.05968,1.8486099,0.45275003,1.0,0.598,239.715,1.122,0.167,524390170624.0
2026-01-09,MAR,34.23709,-28.062706,,0.37984002,0.81554,0.65933996,,0.467,0.056,88199364608.0
2026-01-09,MCD,26.377455,-101.705635,,0.3204,0.57425,0.46905997,,1.0,0.03,220418129920.0
2026-01-09,MDB,74.492004,11.647467,-0.032279998,-0.030580001,0.71616995,-0.02932,2.297,5.255,0.187,33657118720.0
2026-01-09,MDLZ,20.220974,2.661179,0.13101,0.0938,0.31053,0.10837,83.621,0.611,0.059,69860114432.0
2026-01-09,MDT,26.745258,2.6004586,0.09822,0.13706,0.65576,0.20299,59.563,2.415,0.066,126581383168.0
2026-01-09,MELI,53.191803,17.693327,0.40646,0.0793,0.50356996,0.097720005,159.296,1.174,0.395,110509727744.0
2026-01-09,MET,15.024482,1.8212117,0.12798001,0.053400002,0.24260001,0.0701,163.999,1.891,-0.059,53055778816.0
2026-01-09,META,28.574081,8.39257,0.32643002,0.30892,0.82013,0.40075,26.311,1.978,0.262,1628412051456.0
2026-01-09,MLM,32.790855,3.9530058,0.12523,0.16688,0.30552,0.27898002,60.618,2.966,0.124,38482591744.0
2026-01-09,MMC,22.41007,6.0438495,0.28734,0.15601,0.43953,0.19240999,139.501,1.123,0.115,91884527616.0
2026-01-09,MMM,26.396166,18.966944,0.72920996,0.137,0.40979,0.24367,281.904,1.842,0.035,88011735040.0
